factor,eta_squared
Factor2,0.7425843278084494
Factor1,0.3497514700722651
Factor7,0.2641789614674842
Factor8,0.17322904772543382
Factor4,0.14594726211579045
Factor5,0.07956350720470792
Factor3,0.07499525723389776
Factor10,0.04618666644429917
Factor6,0.036300352387135484
Factor9,0.0034944268209724173
